Artifact Name,Artifact Type,Build Method,Dependencies,Grain,Last Updated,Layer,Notes,Primary / Merge Key,Purpose,Source Objects,Status,Target Object
brz_toast_menus_metadata,Power Query M,Query,Toast auth; restaurant GUID; menus:read scope,One row per menu metadata payload,"April 27, 2026",Bronze,Used to determine whether full menu reload is needed.,payload_hash,Pull menu metadata/staleness payload into Bronze.,Toast API /menus/v2/metadata,Documented,brz_toast_menus_metadata
stg_toast_selection_discount,Power Query M,Query,brz_toast_orders_bulk; brz_toast_config_discounts,One row per selection-level discount application,"April 27, 2026",Silver,Uses config fallback for discount type/value.,restaurant_guid + selection_guid + discount_guid + ordinal,Normalize selection-level applied discounts.,brz_toast_orders_bulk; brz_toast_config_discounts,Documented,stg_toast_selection_discount
brz_toast_config_tax_rates,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Used by selection tax staging table.,payload_hash,Pull tax rate config into Bronze.,Toast API /config/v2/taxRates,Documented,brz_toast_config_tax_rates
stg_toast_check_discount,Power Query M,Query,brz_toast_orders_bulk; brz_toast_config_discounts,One row per check-level discount application,"April 27, 2026",Silver,Uses config fallback for discount type/value.,restaurant_guid + check_guid + discount_guid + ordinal,Normalize check-level applied discounts.,brz_toast_orders_bulk; brz_toast_config_discounts,Documented,stg_toast_check_discount
stg_toast_order,Power Query M,Query,brz_toast_orders_bulk,One row per order,"April 27, 2026",Silver,Dedupes by restaurant_guid/order_guid using modified and ingested timestamps.,restaurant_guid + order_guid,Normalize orders into one row per Toast order.,brz_toast_orders_bulk,Documented,stg_toast_order
brz_toast_config_discounts,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Used by discount staging tables.,payload_hash,Pull discount config into Bronze.,Toast API /config/v2/discounts,Documented,brz_toast_config_discounts
brz_toast_restaurants,Power Query M,Query,Toast auth; restaurant GUID; restaurants:read scope,One row per restaurant metadata payload,"April 27, 2026",Bronze,Contains location metadata such as closeout/timezone when present.,payload_hash,Pull restaurant metadata into Bronze.,Toast API /restaurants/v1/restaurants/{restaurantGUID},Documented,brz_toast_restaurants
brz_toast_menus,Power Query M,Query,Toast auth; restaurant GUID; menus:read scope,One row per full menu payload,"April 27, 2026",Bronze,Full menu JSON source for menu/item/modifier dimensions.,payload_hash,Pull full menu payload into Bronze.,Toast API /menus/v2/menus,Documented,brz_toast_menus
stg_toast_selection,Power Query M,Query,brz_toast_orders_bulk,One row per item selection,"April 27, 2026",Silver,Includes item/menu/sales category names and counts for modifiers/discounts/taxes.,restaurant_guid + selection_guid,Normalize item selections into one row per selection.,brz_toast_orders_bulk,Documented,stg_toast_selection
stg_toast_payment,Power Query M,Query,brz_toast_payments,One row per payment,"April 27, 2026",Silver,Payments modeled separately from orders.,restaurant_guid + payment_guid,Normalize Toast payments into one row per payment.,brz_toast_payments,Documented,stg_toast_payment
